instrument,variable,N,mean_diff,std_diff,rms_diff,median_abs_diff
HiCARS,ice_thickness,1273,12.526790727001353,119.55812105608918,120.21258168919161,29.78698640008929
HiCARS,rssnr,1273,0.34301101274819673,11.693046112577111,11.698076078814038,7.28694235617202
PASIN,ice_thickness,431,27.20912063364307,89.3728697789789,93.4229420334559,32.55389064738199
PASIN,rssnr,431,-30.674809852073025,15.512616262479638,34.37419413990361,31.51717869192425
all,ice_thickness,1704,16.240455157613198,112.87034267694041,114.03274371747966,30.486214291453848
all,rssnr,1704,-7.502458936041676,18.569025443146085,20.027371170355792,10.008385360785478
