flight,instrument,opr_frame,opr_year,distance_m,ice_thickness_agasea,ice_thickness_opr,rssnr_agasea,rssnr_opr,lat,lon,ice_thickness_diff,rssnr_diff
DRP02a,HiCARS,Data_20121023_04_040,2012,184.11235650029147,500.3702777777778,469.45346638358035,25.246175109999903,12.861314267027552,-75.04618472553443,-110.89140398833719,30.916811394197453,12.384860842972351
DRP02a,HiCARS,Data_20121023_04_046,2012,411.46075320810104,738.8477138047137,602.3176549827073,39.23748801754214,15.91199514145632,-75.10938969598561,-112.06348523494941,136.53005882200648,23.32549287608582
DRP02a,HiCARS,Data_20121023_04_066,2012,288.2406040945953,1503.7895336700335,947.7645453404366,73.51241472913495,27.70043729040698,-75.14773257958929,-112.55926544509767,556.0249883295969,45.811977438727965
DRP02a,HiCARS,Data_20141107_09_006,2014,141.81461470187782,508.7321144781144,441.15617558789575,30.482324916481524,31.13080862552524,-75.04579456756548,-110.90042872537904,67.57593889021865,-0.6484837090437168
DRP02a,HiCARS,Data_20141107_09_011,2014,138.15957330280762,783.4262121212122,737.50536224236,24.73470044286277,12.528255417963045,-75.10944522638545,-112.07975325764275,45.92084987885221,12.206445024899725
DRP02a,HiCARS,Data_20141107_09_017,2014,138.1448303305053,1583.824537037037,1333.5713399450894,67.59737603473398,63.53910935168738,-75.14810652585248,-112.53981204692818,250.25319709194764,4.058266683046604
DRP02a,HiCARS,Data_20141107_09_022,2014,73.12357475083174,2275.3590168350165,2316.911822934903,79.3405185024213,87.24528392996064,-75.30921477264934,-114.4527695826811,-41.55280609988631,-7.904765427539331
DRP02a,HiCARS,Data_20141107_09_027,2014,31.706906630607516,2040.073207070707,2106.4365483223573,65.35780710375326,85.19847876147942,-75.35404143446819,-114.84011468001184,-66.36334125165035,-19.840671657726162
DRP02a,HiCARS,Data_20141107_09_029,2014,748.9889585369956,2389.6815067340067,2345.5364602822087,94.10029151634922,104.12920764106292,-75.4200295024253,-115.29094643835205,44.14504645179795,-10.028916124713703
DRP02a,HiCARS,Data_20141111_06_004,2014,98.45395827312164,1435.1748468013473,1614.7663068274505,66.0727033671964,53.750633569758726,-75.68040390106705,-116.55743403129907,-179.59146002610328,12.32206979743767
DRP02a,HiCARS,Data_20161020_09_006,2016,1558.2305924019208,1577.404277777778,1675.2981454008732,62.23046548611406,57.35396142502655,-75.6734943881379,-116.54093239476231,-97.89386762309528,4.876504061087516
DRP02a,HiCARS,Data_20161107_04_002,2016,5.704537836513662,502.3448585858586,426.90338527474023,24.79933880016766,17.196633999301003,-75.0419662230755,-110.82215013837867,75.44147331111839,7.602704800866658
